16:48:08:828321: ,0:00:01.633150,Inicializando el sensor: DHT11 
16:48:08:882177: ,0:00:00.053856,Lectura de humedad y temperatura y postprocesado 
16:48:08:898135: ,0:00:00.015958,Daniel Velasco 
16:48:08:899133: ,0:00:00.000998, 
16:48:08:991883: ,0:00:00.092750,Numero medida,Humedad (%),Temperatura (\xc2\xbaC),Punto de rocio (\xc2\xbaC),Sensacion termica (\xc2\xbaC) 
16:56:02:984526: ,0:00:06.053398,78,41.00,25.00,10.85,24.63
16:56:09:034428: ,0:00:06.049902,79,41.00,25.00,10.85,24.63
16:56:15:087311: ,0:00:06.052883,80,41.00,25.00,10.85,24.63
16:56:21:136708: ,0:00:06.049397,81,41.00,25.10,10.94,24.74
16:56:27:190605: ,0:00:06.053897,82,41.00,25.10,10.94,24.74
16:56:33:239498: ,0:00:06.048893,83,41.00,25.10,10.94,24.74
16:56:39:293401: ,0:00:06.053903,84,41.00,25.10,10.94,24.74
16:56:45:343304: ,0:00:06.049903,85,41.00,25.10,10.94,24.74
16:56:51:392716: ,0:00:06.049412,86,41.00,25.10,10.94,24.74
16:56:57:445611: ,0:00:06.052895,87,41.00,25.10,10.94,24.74
16:57:03:495019: ,0:00:06.049408,88,41.00,25.10,10.94,24.74
16:57:09:548887: ,0:00:06.053868,89,41.00,25.10,10.94,24.74
16:57:15:597794: ,0:00:06.048907,90,41.00,25.10,10.94,24.74
16:57:21:651191: ,0:00:06.053397,91,41.00,25.10,10.94,24.74
16:57:27:701601: ,0:00:06.050410,92,41.00,25.10,10.94,24.74
16:57:33:754516: ,0:00:06.052915,93,41.00,25.10,10.94,24.74
16:57:39:803918: ,0:00:06.049402,94,41.00,25.10,10.94,24.74
16:57:45:857292: ,0:00:06.053374,95,41.00,25.10,10.94,24.74
16:57:51:907219: ,0:00:06.049927,96,41.00,25.10,10.94,24.74
16:57:57:960090: ,0:00:06.052871,97,41.00,25.10,10.94,24.74
16:58:04:009485: ,0:00:06.049395,98,41.00,25.10,10.94,24.74
16:58:10:059396: ,0:00:06.049911,99,41.00,25.10,10.94,24.74
